Date,Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death,Forecasted,Forecasted_high,Forecasted_low,Confiremd_Cases_Daywise,Forecasted_Cases_Daywise,Forecasted_Cases_high_Daywise,Forecasted_Cases_low_Daywise
18-04-2020,18-04-2020,Andaman and Nicobar Islands,12,1,11.0,0.0,,,,1,,,
19-04-2020,19-04-2020,Andaman and Nicobar Islands,14,3,11.0,0.0,,,,2,,,
20-04-2020,20-04-2020,Andaman and Nicobar Islands,15,4,11.0,0.0,,,,1,,,
21-04-2020,21-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0,,,,1,,,
22-04-2020,22-04-2020,Andaman and Nicobar Islands,16,5,11.0,0.0,,,,0,,,
23-04-2020,23-04-2020,Andaman and Nicobar Islands,18,7,11.0,0.0,,,,2,,,
24-04-2020,24-04-2020,Andaman and Nicobar Islands,22,11,11.0,0.0,,,,4,,,
25-04-2020,25-04-2020,Andaman and Nicobar Islands,27,16,11.0,0.0,,,,5,,,
26-04-2020,26-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,,6,,,
27-04-2020,27-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,,0,,,
28-04-2020,28-04-2020,Andaman and Nicobar Islands,33,22,11.0,0.0,,,,0,,,
29-04-2020,29-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0,,,,0,,,
30-04-2020,30-04-2020,Andaman and Nicobar Islands,33,18,15.0,0.0,,,,0,,,
01-05-2020,01-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,,0,,,
02-05-2020,02-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,,0,,,
03-05-2020,03-05-2020,Andaman and Nicobar Islands,33,17,16.0,0.0,,,,0,,,
04-05-2020,04-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,,0,,,
05-05-2020,05-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,,0,,,
06-05-2020,06-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,,0,,,
07-05-2020,07-05-2020,Andaman and Nicobar Islands,33,1,32.0,0.0,,,,0,,,
08-05-2020,08-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
09-05-2020,09-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
10-05-2020,10-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
11-05-2020,11-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
12-05-2020,12-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
13-05-2020,13-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
14-05-2020,14-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
15-05-2020,15-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
16-05-2020,16-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
17-05-2020,17-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
18-05-2020,18-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
19-05-2020,19-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
20-05-2020,20-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
21-05-2020,21-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
22-05-2020,22-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
23-05-2020,23-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
24-05-2020,24-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
25-05-2020,25-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
26-05-2020,26-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
27-05-2020,27-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
28-05-2020,28-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
29-05-2020,29-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
30-05-2020,30-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
31-05-2020,31-05-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
01-06-2020,01-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
02-06-2020,02-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
03-06-2020,03-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
04-06-2020,04-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
05-06-2020,05-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
06-06-2020,06-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
07-06-2020,07-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
08-06-2020,08-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
09-06-2020,09-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
10-06-2020,10-06-2020,Andaman and Nicobar Islands,33,0,33.0,0.0,,,,0,,,
11-06-2020,11-06-2020,Andaman and Nicobar Islands,34,1,33.0,0.0,,,,1,,,
12-06-2020,12-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,,4,,,
13-06-2020,13-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,,0,,,
14-06-2020,14-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,,0,,,
15-06-2020,15-06-2020,Andaman and Nicobar Islands,38,5,33.0,0.0,,,,0,,,
16-06-2020,16-06-2020,Andaman and Nicobar Islands,41,8,33.0,0.0,,,,3,,,
17-06-2020,17-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,,3,,,
18-06-2020,18-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,,0,,,
19-06-2020,19-06-2020,Andaman and Nicobar Islands,44,11,33.0,0.0,,,,0,,,
20-06-2020,20-06-2020,Andaman and Nicobar Islands,45,10,35.0,0.0,,,,1,,,
21-06-2020,21-06-2020,Andaman and Nicobar Islands,47,11,36.0,0.0,,,,2,,,
22-06-2020,22-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0,,,,1,,,
23-06-2020,23-06-2020,Andaman and Nicobar Islands,48,11,37.0,0.0,,,,0,,,
24-06-2020,24-06-2020,Andaman and Nicobar Islands,50,10,40.0,0.0,,,,2,,,
25-06-2020,25-06-2020,Andaman and Nicobar Islands,56,13,43.0,0.0,,,,6,,,
26-06-2020,26-06-2020,Andaman and Nicobar Islands,59,16,43.0,0.0,,,,3,,,
27-06-2020,27-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0,,,,13,,,
28-06-2020,28-06-2020,Andaman and Nicobar Islands,72,29,43.0,0.0,,,,0,,,
29-06-2020,29-06-2020,Andaman and Nicobar Islands,76,31,45.0,0.0,,,,4,,,
30-06-2020,30-06-2020,Andaman and Nicobar Islands,90,44,46.0,0.0,,,,14,,,
01-07-2020,01-07-2020,Andaman and Nicobar Islands,97,47,50.0,0.0,,,,7,,,
02-07-2020,02-07-2020,Andaman and Nicobar Islands,100,50,50.0,0.0,,,,3,,,
03-07-2020,03-07-2020,Andaman and Nicobar Islands,109,58,51.0,0.0,,,,9,,,
04-07-2020,04-07-2020,Andaman and Nicobar Islands,116,62,54.0,0.0,,,,7,,,
05-07-2020,05-07-2020,Andaman and Nicobar Islands,119,53,66.0,0.0,,,,3,,,
06-07-2020,06-07-2020,Andaman and Nicobar Islands,125,53,72.0,0.0,,,,6,,,
07-07-2020,07-07-2020,Andaman and Nicobar Islands,141,67,74.0,0.0,,,,16,,,
08-07-2020,08-07-2020,Andaman and Nicobar Islands,147,72,75.0,0.0,,,,6,,,
09-07-2020,09-07-2020,Andaman and Nicobar Islands,149,72,77.0,0.0,,,,2,,,
10-07-2020,10-07-2020,Andaman and Nicobar Islands,151,68,83.0,0.0,,,,2,,,
11-07-2020,11-07-2020,Andaman and Nicobar Islands,156,64,92.0,0.0,,,,5,,,
12-07-2020,12-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0,,,,7,,,
13-07-2020,13-07-2020,Andaman and Nicobar Islands,163,70,93.0,0.0,,,,0,,,
14-07-2020,14-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0,,,,3,,,
15-07-2020,15-07-2020,Andaman and Nicobar Islands,166,57,109.0,0.0,,,,0,,,
16-07-2020,16-07-2020,Andaman and Nicobar Islands,176,46,130.0,0.0,,,,10,,,
17-07-2020,17-07-2020,Andaman and Nicobar Islands,180,47,133.0,0.0,,,,4,,,
18-07-2020,18-07-2020,Andaman and Nicobar Islands,194,52,142.0,0.0,,,,14,,,
19-07-2020,19-07-2020,Andaman and Nicobar Islands,198,53,145.0,0.0,,,,4,,,
20-07-2020,20-07-2020,Andaman and Nicobar Islands,203,58,145.0,0.0,,,,5,,,
21-07-2020,21-07-2020,Andaman and Nicobar Islands,207,55,152.0,0.0,,,,4,,,
22-07-2020,22-07-2020,Andaman and Nicobar Islands,212,53,159.0,0.0,,,,5,,,
23-07-2020,23-07-2020,Andaman and Nicobar Islands,221,58,163.0,0.0,,,,9,,,
24-07-2020,24-07-2020,Andaman and Nicobar Islands,240,70,170.0,0.0,,,,19,,,
25-07-2020,25-07-2020,Andaman and Nicobar Islands,259,85,174.0,0.0,,,,19,,,
26-07-2020,26-07-2020,Andaman and Nicobar Islands,290,114,176.0,0.0,,,,31,,,
27-07-2020,27-07-2020,Andaman and Nicobar Islands,324,142,182.0,0.0,,,,34,,,
28-07-2020,28-07-2020,Andaman and Nicobar Islands,338,145,192.0,1.0,,,,14,,,
29-07-2020,29-07-2020,Andaman and Nicobar Islands,363,166,196.0,1.0,,,,25,,,
30-07-2020,30-07-2020,Andaman and Nicobar Islands,,,,,360.0,366.9561984383627,352.6510538808779,,,,
31-07-2020,31-07-2020,Andaman and Nicobar Islands,,,,,382.0,394.4411273422426,369.0797696012415,,22.0,27.484928903879904,16.428715720363584
01-08-2020,01-08-2020,Andaman and Nicobar Islands,,,,,404.0,422.6039648569049,385.13696901582546,,22.0,28.16283751466227,16.057199414583977
02-08-2020,02-08-2020,Andaman and Nicobar Islands,,,,,426.0,451.50325463751,400.7641084694695,,22.0,28.899289780605102,15.62713945364402
03-08-2020,03-08-2020,Andaman and Nicobar Islands,,,,,449.0,481.120576877279,415.97960776895246,,23.0,29.61732223976901,15.215499299482985
04-08-2020,04-08-2020,Andaman and Nicobar Islands,,,,,471.0,511.42640571349705,430.8129927769892,,22.0,30.30582883621804,14.833385008036714
05-08-2020,05-08-2020,Andaman and Nicobar Islands,,,,,494.0,542.3916585456698,445.2933460940741,,23.0,30.965252832172723,14.480353317084905
06-08-2020,06-08-2020,Andaman and Nicobar Islands,,,,,517.0,573.9900423063208,459.44696078768345,,23.0,31.598383760651018,14.15361469360937
07-08-2020,07-08-2020,Andaman and Nicobar Islands,,,,,540.0,606.1982799454652,473.29711390780244,,23.0,32.208237639144386,13.85015312011899
08-08-2020,08-08-2020,Andaman and Nicobar Islands,,,,,563.0,638.9958188708408,486.8643580466928,,23.0,32.79753892537565,13.567244138890374
09-08-2020,09-08-2020,Andaman and Nicobar Islands,,,,,586.0,672.3644474748316,500.1669048119709,,23.0,33.36862860399083,13.302546765278066
10-08-2020,10-08-2020,Andaman and Nicobar Islands,,,,,610.0,706.2879370422174,513.2209829188569,,24.0,33.923489567385786,13.054078106885981
11-08-2020,11-08-2020,Andaman and Nicobar Islands,,,,,633.0,740.7517361354166,526.0411438049323,,23.0,34.46379909319921,12.820160886075428
12-08-2020,12-08-2020,Andaman and Nicobar Islands,,,,,657.0,775.7427175547089,538.6405146699176,,24.0,34.99098141929221,12.599370864985303
13-08-2020,13-08-2020,Andaman and Nicobar Islands,,,,,681.0,811.2489707031397,551.031006110767,,24.0,35.5062531484308,12.39049144084936
14-08-2020,14-08-2020,Andaman and Nicobar Islands,,,,,705.0,847.2596312061147,563.223482502075,,24.0,36.01066050297504,12.192476391307991
15-08-2020,15-08-2020,Andaman and Nicobar Islands,,,,,729.0,883.764740528483,575.2279023789926,,24.0,36.5051093223683,12.00441987691761
16-08-2020,16-08-2020,Andaman and Nicobar Islands,,,,,754.0,920.7551296197983,587.0534347919661,,25.0,36.99038909131525,11.82553241297353
17-08-2020,17-08-2020,Andaman and Nicobar Islands,,,,,778.0,958.2223218285883,598.7085563924677,,24.0,37.46719220879004,11.655121600501616
18-08-2020,18-08-2020,Andaman and Nicobar Islands,,,,,803.0,996.1584513355618,610.2011329997887,,25.0,37.93612950697354,11.492576607320984
19-08-2020,19-08-2020,Andaman and Nicobar Islands,,,,,828.0,1034.5561941585086,621.5384885961391,,25.0,38.397742822946725,11.337355596350449
20-08-2020,20-08-2020,Andaman and Nicobar Islands,,,,,853.0,1073.4087094078961,632.7274640710516,,25.0,38.85251524938758,11.188975474912468
21-08-2020,21-08-2020,Andaman and Nicobar Islands,,,,,878.0,1112.709588957206,643.7744675510447,,25.0,39.30087954930991,11.047003479993123
22-08-2020,22-08-2020,Andaman and Nicobar Islands,,,,,904.0,1152.4528140674188,654.6855177751378,,26.0,39.743225110212734,10.91105022409306
23-08-2020,23-08-2020,Andaman and Nicobar Islands,,,,,929.0,1192.6327177963349,665.4662816855304,,25.0,40.17990372891609,10.78076391039258
24-08-2020,24-08-2020,Andaman and Nicobar Islands,,,,,955.0,1233.2439522504728,676.1221071757035,,26.0,40.61123445413796,10.655825490173129
25-08-2020,25-08-2020,Andaman and Nicobar Islands,,,,,980.0,1274.2814599152712,686.6580517602193,,25.0,41.03750766479834,10.535944584515846
26-08-2020,26-08-2020,Andaman and Nicobar Islands,,,,,1006.0,1315.7404484396823,697.0789077901254,,26.0,41.4589885244111,10.420856029906076
27-08-2020,27-08-2020,Andaman and Nicobar Islands,,,,,1033.0,1357.6163683626573,707.3892247264703,,27.0,41.87591992297507,10.310316936344861
12-03-2020,12-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,,,,
13-03-2020,13-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
14-03-2020,14-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
15-03-2020,15-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
16-03-2020,16-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
17-03-2020,17-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
18-03-2020,18-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
19-03-2020,19-03-2020,Andhra Pradesh,1,1,0.0,0.0,,,,0,,,
20-03-2020,20-03-2020,Andhra Pradesh,2,2,0.0,0.0,,,,1,,,
21-03-2020,21-03-2020,Andhra Pradesh,3,3,0.0,0.0,,,,1,,,
22-03-2020,22-03-2020,Andhra Pradesh,5,5,0.0,0.0,,,,2,,,
23-03-2020,23-03-2020,Andhra Pradesh,7,7,0.0,0.0,,,,2,,,
24-03-2020,24-03-2020,Andhra Pradesh,7,7,0.0,0.0,,,,0,,,
25-03-2020,25-03-2020,Andhra Pradesh,8,8,0.0,0.0,,,,1,,,
26-03-2020,26-03-2020,Andhra Pradesh,11,10,1.0,0.0,,,,3,,,
27-03-2020,27-03-2020,Andhra Pradesh,12,11,1.0,0.0,,,,1,,,
28-03-2020,28-03-2020,Andhra Pradesh,14,13,1.0,0.0,,,,2,,,
29-03-2020,29-03-2020,Andhra Pradesh,14,13,1.0,0.0,,,,0,,,
30-03-2020,30-03-2020,Andhra Pradesh,19,18,1.0,0.0,,,,5,,,
31-03-2020,31-03-2020,Andhra Pradesh,40,39,1.0,0.0,,,,21,,,
01-04-2020,01-04-2020,Andhra Pradesh,83,82,1.0,0.0,,,,43,,,
02-04-2020,02-04-2020,Andhra Pradesh,86,84,1.0,1.0,,,,3,,,
03-04-2020,03-04-2020,Andhra Pradesh,132,130,1.0,1.0,,,,46,,,
04-04-2020,04-04-2020,Andhra Pradesh,161,159,1.0,1.0,,,,29,,,
05-04-2020,05-04-2020,Andhra Pradesh,161,159,1.0,1.0,,,,0,,,
06-04-2020,06-04-2020,Andhra Pradesh,226,222,1.0,3.0,,,,65,,,
07-04-2020,07-04-2020,Andhra Pradesh,266,262,1.0,3.0,,,,40,,,
08-04-2020,08-04-2020,Andhra Pradesh,305,300,1.0,4.0,,,,39,,,
09-04-2020,09-04-2020,Andhra Pradesh,348,338,6.0,4.0,,,,43,,,
10-04-2020,10-04-2020,Andhra Pradesh,348,338,6.0,4.0,,,,0,,,
11-04-2020,11-04-2020,Andhra Pradesh,363,350,7.0,6.0,,,,15,,,
12-04-2020,12-04-2020,Andhra Pradesh,381,364,11.0,6.0,,,,18,,,
13-04-2020,13-04-2020,Andhra Pradesh,427,409,11.0,7.0,,,,46,,,
14-04-2020,14-04-2020,Andhra Pradesh,432,414,11.0,7.0,,,,5,,,
15-04-2020,15-04-2020,Andhra Pradesh,483,458,16.0,9.0,,,,51,,,
16-04-2020,16-04-2020,Andhra Pradesh,525,491,20.0,14.0,,,,42,,,
17-04-2020,17-04-2020,Andhra Pradesh,534,500,20.0,14.0,,,,9,,,
18-04-2020,18-04-2020,Andhra Pradesh,572,522,36.0,14.0,,,,38,,,
19-04-2020,19-04-2020,Andhra Pradesh,603,546,42.0,15.0,,,,31,,,
20-04-2020,20-04-2020,Andhra Pradesh,646,589,42.0,15.0,,,,43,,,
21-04-2020,21-04-2020,Andhra Pradesh,722,610,92.0,20.0,,,,76,,,
22-04-2020,22-04-2020,Andhra Pradesh,757,639,96.0,22.0,,,,35,,,
23-04-2020,23-04-2020,Andhra Pradesh,813,669,120.0,24.0,,,,56,,,
24-04-2020,24-04-2020,Andhra Pradesh,895,727,141.0,27.0,,,,82,,,
25-04-2020,25-04-2020,Andhra Pradesh,955,781,145.0,29.0,,,,60,,,
26-04-2020,26-04-2020,Andhra Pradesh,1061,859,171.0,31.0,,,,106,,,
27-04-2020,27-04-2020,Andhra Pradesh,1097,835,231.0,31.0,,,,36,,,
28-04-2020,28-04-2020,Andhra Pradesh,1183,917,235.0,31.0,,,,86,,,
29-04-2020,29-04-2020,Andhra Pradesh,1259,970,258.0,31.0,,,,76,,,
30-04-2020,30-04-2020,Andhra Pradesh,1332,1014,287.0,31.0,,,,73,,,
01-05-2020,01-05-2020,Andhra Pradesh,1403,1051,321.0,31.0,,,,71,,,
02-05-2020,02-05-2020,Andhra Pradesh,1463,1027,403.0,33.0,,,,60,,,
03-05-2020,03-05-2020,Andhra Pradesh,1525,1051,441.0,33.0,,,,62,,,
04-05-2020,04-05-2020,Andhra Pradesh,1583,1062,488.0,33.0,,,,58,,,
05-05-2020,05-05-2020,Andhra Pradesh,1650,1090,524.0,36.0,,,,67,,,
06-05-2020,06-05-2020,Andhra Pradesh,1717,1092,589.0,36.0,,,,67,,,
07-05-2020,07-05-2020,Andhra Pradesh,1777,1012,729.0,36.0,,,,60,,,
08-05-2020,08-05-2020,Andhra Pradesh,1847,1029,780.0,38.0,,,,70,,,
09-05-2020,09-05-2020,Andhra Pradesh,1887,1004,842.0,41.0,,,,40,,,
10-05-2020,10-05-2020,Andhra Pradesh,1930,999,887.0,44.0,,,,43,,,
11-05-2020,11-05-2020,Andhra Pradesh,1980,1010,925.0,45.0,,,,50,,,
12-05-2020,12-05-2020,Andhra Pradesh,2018,998,975.0,45.0,,,,38,,,
13-05-2020,13-05-2020,Andhra Pradesh,2090,988,1056.0,46.0,,,,72,,,
14-05-2020,14-05-2020,Andhra Pradesh,2137,948,1142.0,47.0,,,,47,,,
15-05-2020,15-05-2020,Andhra Pradesh,2205,965,1192.0,48.0,,,,68,,,
16-05-2020,16-05-2020,Andhra Pradesh,2307,1007,1252.0,48.0,,,,102,,,
17-05-2020,17-05-2020,Andhra Pradesh,2355,953,1353.0,49.0,,,,48,,,
18-05-2020,18-05-2020,Andhra Pradesh,2407,901,1456.0,50.0,,,,52,,,
19-05-2020,19-05-2020,Andhra Pradesh,2474,872,1552.0,50.0,,,,67,,,
20-05-2020,20-05-2020,Andhra Pradesh,2532,859,1621.0,52.0,,,,58,,,
21-05-2020,21-05-2020,Andhra Pradesh,2602,909,1640.0,53.0,,,,70,,,
22-05-2020,22-05-2020,Andhra Pradesh,2647,885,1709.0,53.0,,,,45,,,
23-05-2020,23-05-2020,Andhra Pradesh,2709,891,1763.0,55.0,,,,62,,,
24-05-2020,24-05-2020,Andhra Pradesh,2757,892,1809.0,56.0,,,,48,,,
25-05-2020,25-05-2020,Andhra Pradesh,2823,911,1856.0,56.0,,,,66,,,
26-05-2020,26-05-2020,Andhra Pradesh,3110,1158,1896.0,56.0,,,,287,,,
27-05-2020,27-05-2020,Andhra Pradesh,3171,1105,2009.0,57.0,,,,61,,,
28-05-2020,28-05-2020,Andhra Pradesh,3171,1056,2057.0,58.0,,,,0,,,
29-05-2020,29-05-2020,Andhra Pradesh,3251,1067,2125.0,59.0,,,,80,,,
30-05-2020,30-05-2020,Andhra Pradesh,3436,1150,2226.0,60.0,,,,185,,,
31-05-2020,31-05-2020,Andhra Pradesh,3569,1220,2289.0,60.0,,,,133,,,
01-06-2020,01-06-2020,Andhra Pradesh,3679,1268,2349.0,62.0,,,,110,,,
02-06-2020,02-06-2020,Andhra Pradesh,3783,1341,2378.0,64.0,,,,104,,,
03-06-2020,03-06-2020,Andhra Pradesh,3898,1413,2421.0,64.0,,,,115,,,
04-06-2020,04-06-2020,Andhra Pradesh,4080,1546,2466.0,68.0,,,,182,,,
05-06-2020,05-06-2020,Andhra Pradesh,4223,1613,2539.0,71.0,,,,143,,,
06-06-2020,06-06-2020,Andhra Pradesh,4303,1654,2576.0,73.0,,,,80,,,
07-06-2020,07-06-2020,Andhra Pradesh,4510,1817,2620.0,73.0,,,,207,,,
08-06-2020,08-06-2020,Andhra Pradesh,4708,1951,2682.0,75.0,,,,198,,,
09-06-2020,09-06-2020,Andhra Pradesh,4851,2031,2745.0,75.0,,,,143,,,
10-06-2020,10-06-2020,Andhra Pradesh,5070,2191,2802.0,77.0,,,,219,,,
11-06-2020,11-06-2020,Andhra Pradesh,5269,2292,2899.0,78.0,,,,199,,,
12-06-2020,12-06-2020,Andhra Pradesh,5429,2301,3048.0,80.0,,,,160,,,
13-06-2020,13-06-2020,Andhra Pradesh,5680,2495,3105.0,80.0,,,,251,,,
14-06-2020,14-06-2020,Andhra Pradesh,5965,2688,3195.0,82.0,,,,285,,,
15-06-2020,15-06-2020,Andhra Pradesh,6163,2765,3314.0,84.0,,,,198,,,
16-06-2020,16-06-2020,Andhra Pradesh,6456,3052,3316.0,88.0,,,,293,,,
17-06-2020,17-06-2020,Andhra Pradesh,6841,3244,3509.0,88.0,,,,385,,,
18-06-2020,18-06-2020,Andhra Pradesh,7071,3340,3641.0,90.0,,,,230,,,
19-06-2020,19-06-2020,Andhra Pradesh,7518,3637,3789.0,92.0,,,,447,,,
20-06-2020,20-06-2020,Andhra Pradesh,7961,3948,3917.0,96.0,,,,443,,,
21-06-2020,21-06-2020,Andhra Pradesh,8452,4240,4111.0,101.0,,,,491,,,
22-06-2020,22-06-2020,Andhra Pradesh,8999,4562,4331.0,106.0,,,,547,,,
23-06-2020,23-06-2020,Andhra Pradesh,9372,4766,4495.0,111.0,,,,373,,,
24-06-2020,24-06-2020,Andhra Pradesh,10002,5284,4599.0,119.0,,,,630,,,
25-06-2020,25-06-2020,Andhra Pradesh,10331,5428,4779.0,124.0,,,,329,,,
26-06-2020,26-06-2020,Andhra Pradesh,10884,5760,4988.0,136.0,,,,553,,,
27-06-2020,27-06-2020,Andhra Pradesh,11489,6145,5196.0,148.0,,,,605,,,
28-06-2020,28-06-2020,Andhra Pradesh,12285,6648,5480.0,157.0,,,,796,,,
29-06-2020,29-06-2020,Andhra Pradesh,13241,7164,5908.0,169.0,,,,956,,,
30-06-2020,30-06-2020,Andhra Pradesh,13891,7479,6232.0,180.0,,,,650,,,
01-07-2020,01-07-2020,Andhra Pradesh,14595,7897,6511.0,187.0,,,,704,,,
02-07-2020,02-07-2020,Andhra Pradesh,15252,8071,6988.0,193.0,,,,657,,,
03-07-2020,03-07-2020,Andhra Pradesh,16097,8586,7313.0,198.0,,,,845,,,
04-07-2020,04-07-2020,Andhra Pradesh,16934,9096,7632.0,206.0,,,,837,,,
05-07-2020,05-07-2020,Andhra Pradesh,17699,9473,8008.0,218.0,,,,765,,,
06-07-2020,06-07-2020,Andhra Pradesh,18697,10043,8422.0,232.0,,,,998,,,
07-07-2020,07-07-2020,Andhra Pradesh,20019,10860,8920.0,239.0,,,,1322,,,
08-07-2020,08-07-2020,Andhra Pradesh,21197,11200,9745.0,252.0,,,,1178,,,
09-07-2020,09-07-2020,Andhra Pradesh,22259,10894,11101.0,264.0,,,,1062,,,
10-07-2020,10-07-2020,Andhra Pradesh,23814,11383,12154.0,277.0,,,,1555,,,
11-07-2020,11-07-2020,Andhra Pradesh,25422,11936,13194.0,292.0,,,,1608,,,
12-07-2020,12-07-2020,Andhra Pradesh,27235,12533,14393.0,309.0,,,,1813,,,
