Date,Region,Confirmed_Cases,Active_Cases,Cured/Discharged,Death,Forecasted,Forecasted_high,Forecasted_low,Confirmed_Cases_Daywise,Active_Cases_Daywise,Forecasted_Cases_Daywise,Forecasted_Cases_high_Daywise,Forecasted_Cases_low_Daywise,Forecasted_active,Forecasted_active_high,Forecasted_active_low,Forecasted_Active_Cases_Daywise,Forecasted_Active_Cases_high_Daywise,Forecasted_Active_Cases_low_Daywise
21-04-2020,Andaman and Nicobar Islands,16,5,11.0,0,,,,0,0,,,,,,,,,
22-04-2020,Andaman and Nicobar Islands,18,7,11.0,0,,,,2,2,,,,,,,,,
23-04-2020,Andaman and Nicobar Islands,22,11,11.0,0,,,,4,4,,,,,,,,,
24-04-2020,Andaman and Nicobar Islands,27,16,11.0,0,,,,5,5,,,,,,,,,
25-04-2020,Andaman and Nicobar Islands,33,22,11.0,0,,,,6,6,,,,,,,,,
26-04-2020,Andaman and Nicobar Islands,33,22,11.0,0,,,,0,0,,,,,,,,,
27-04-2020,Andaman and Nicobar Islands,33,22,11.0,0,,,,0,0,,,,,,,,,
28-04-2020,Andaman and Nicobar Islands,33,18,15.0,0,,,,0,0,,,,,,,,,
29-04-2020,Andaman and Nicobar Islands,33,18,15.0,0,,,,0,0,,,,,,,,,
30-04-2020,Andaman and Nicobar Islands,33,17,16.0,0,,,,0,0,,,,,,,,,
01-05-2020,Andaman and Nicobar Islands,33,17,16.0,0,,,,0,0,,,,,,,,,
02-05-2020,Andaman and Nicobar Islands,33,17,16.0,0,,,,0,0,,,,,,,,,
03-05-2020,Andaman and Nicobar Islands,33,1,32.0,0,,,,0,0,,,,,,,,,
04-05-2020,Andaman and Nicobar Islands,33,1,32.0,0,,,,0,0,,,,,,,,,
05-05-2020,Andaman and Nicobar Islands,33,1,32.0,0,,,,0,0,,,,,,,,,
06-05-2020,Andaman and Nicobar Islands,33,1,32.0,0,,,,0,0,,,,,,,,,
07-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
08-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
09-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
10-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
11-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
12-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
13-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
14-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
15-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
16-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
17-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
18-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
19-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
20-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
21-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
22-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
23-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
24-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
25-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
26-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
27-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
28-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
29-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
30-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
31-05-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
01-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
02-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
03-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
04-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
05-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
06-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
07-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
08-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
09-06-2020,Andaman and Nicobar Islands,33,0,33.0,0,,,,0,0,,,,,,,,,
10-06-2020,Andaman and Nicobar Islands,34,1,33.0,0,,,,1,1,,,,,,,,,
11-06-2020,Andaman and Nicobar Islands,38,5,33.0,0,,,,4,4,,,,,,,,,
12-06-2020,Andaman and Nicobar Islands,38,5,33.0,0,,,,0,0,,,,,,,,,
13-06-2020,Andaman and Nicobar Islands,38,5,33.0,0,,,,0,0,,,,,,,,,
14-06-2020,Andaman and Nicobar Islands,38,5,33.0,0,,,,0,0,,,,,,,,,
15-06-2020,Andaman and Nicobar Islands,41,8,33.0,0,,,,3,3,,,,,,,,,
16-06-2020,Andaman and Nicobar Islands,44,11,33.0,0,,,,3,3,,,,,,,,,
17-06-2020,Andaman and Nicobar Islands,44,11,33.0,0,,,,0,0,,,,,,,,,
18-06-2020,Andaman and Nicobar Islands,44,11,33.0,0,,,,0,0,,,,,,,,,
19-06-2020,Andaman and Nicobar Islands,45,10,35.0,0,,,,1,0,,,,,,,,,
20-06-2020,Andaman and Nicobar Islands,47,11,36.0,0,,,,2,1,,,,,,,,,
21-06-2020,Andaman and Nicobar Islands,48,11,37.0,0,,,,1,0,,,,,,,,,
22-06-2020,Andaman and Nicobar Islands,48,11,37.0,0,,,,0,0,,,,,,,,,
23-06-2020,Andaman and Nicobar Islands,50,10,40.0,0,,,,2,0,,,,,,,,,
24-06-2020,Andaman and Nicobar Islands,56,13,43.0,0,,,,6,3,,,,,,,,,
25-06-2020,Andaman and Nicobar Islands,59,16,43.0,0,,,,3,3,,,,,,,,,
26-06-2020,Andaman and Nicobar Islands,72,29,43.0,0,,,,13,13,,,,,,,,,
27-06-2020,Andaman and Nicobar Islands,72,29,43.0,0,,,,0,0,,,,,,,,,
28-06-2020,Andaman and Nicobar Islands,76,31,45.0,0,,,,4,2,,,,,,,,,
29-06-2020,Andaman and Nicobar Islands,90,44,46.0,0,,,,14,13,,,,,,,,,
30-06-2020,Andaman and Nicobar Islands,97,47,50.0,0,,,,7,3,,,,,,,,,
01-07-2020,Andaman and Nicobar Islands,100,50,50.0,0,,,,3,3,,,,,,,,,
02-07-2020,Andaman and Nicobar Islands,109,58,51.0,0,,,,9,8,,,,,,,,,
03-07-2020,Andaman and Nicobar Islands,116,62,54.0,0,,,,7,4,,,,,,,,,
04-07-2020,Andaman and Nicobar Islands,119,53,66.0,0,,,,3,0,,,,,,,,,
05-07-2020,Andaman and Nicobar Islands,125,53,72.0,0,,,,6,0,,,,,,,,,
06-07-2020,Andaman and Nicobar Islands,141,67,74.0,0,,,,16,14,,,,,,,,,
07-07-2020,Andaman and Nicobar Islands,147,72,75.0,0,,,,6,5,,,,,,,,,
08-07-2020,Andaman and Nicobar Islands,149,72,77.0,0,,,,2,0,,,,,,,,,
09-07-2020,Andaman and Nicobar Islands,151,68,83.0,0,,,,2,0,,,,,,,,,
10-07-2020,Andaman and Nicobar Islands,156,64,92.0,0,,,,5,0,,,,,,,,,
11-07-2020,Andaman and Nicobar Islands,163,70,93.0,0,,,,7,6,,,,,,,,,
12-07-2020,Andaman and Nicobar Islands,163,70,93.0,0,,,,0,0,,,,,,,,,
13-07-2020,Andaman and Nicobar Islands,166,57,109.0,0,,,,3,0,,,,,,,,,
14-07-2020,Andaman and Nicobar Islands,166,57,109.0,0,,,,0,0,,,,,,,,,
15-07-2020,Andaman and Nicobar Islands,176,46,130.0,0,,,,10,0,,,,,,,,,
16-07-2020,Andaman and Nicobar Islands,180,47,133.0,0,,,,4,1,,,,,,,,,
17-07-2020,Andaman and Nicobar Islands,194,52,142.0,0,,,,14,5,,,,,,,,,
18-07-2020,Andaman and Nicobar Islands,198,53,145.0,0,,,,4,1,,,,,,,,,
19-07-2020,Andaman and Nicobar Islands,203,58,145.0,0,,,,5,5,,,,,,,,,
20-07-2020,Andaman and Nicobar Islands,207,55,152.0,0,,,,4,0,,,,,,,,,
21-07-2020,Andaman and Nicobar Islands,212,53,159.0,0,,,,5,0,,,,,,,,,
22-07-2020,Andaman and Nicobar Islands,221,58,163.0,0,,,,9,5,,,,,,,,,
23-07-2020,Andaman and Nicobar Islands,240,70,170.0,0,,,,19,12,,,,,,,,,
24-07-2020,Andaman and Nicobar Islands,259,85,174.0,0,,,,19,15,,,,,,,,,
25-07-2020,Andaman and Nicobar Islands,290,114,176.0,0,,,,31,29,,,,,,,,,
26-07-2020,Andaman and Nicobar Islands,324,142,182.0,0,,,,34,28,,,,,,,,,
27-07-2020,Andaman and Nicobar Islands,338,145,192.0,1,,,,14,3,,,,,,,,,
28-07-2020,Andaman and Nicobar Islands,363,166,196.0,1,,,,25,21,,,,,,,,,
29-07-2020,Andaman and Nicobar Islands,428,225,201.0,2,,,,65,59,,,,,,,,,
30-07-2020,Andaman and Nicobar Islands,471,266,201.0,4,,,,43,41,,,,,,,,,
31-07-2020,Andaman and Nicobar Islands,548,329,214.0,5,,,,77,63,,,,,,,,,
01-08-2020,Andaman and Nicobar Islands,636,403,226.0,7,,,,88,74,,,,,,,,,
02-08-2020,Andaman and Nicobar Islands,734,484,242.0,8,,,,98,81,,,,,,,,,
03-08-2020,Andaman and Nicobar Islands,830,557,263.0,10,,,,96,73,,,,,,,,,
04-08-2020,Andaman and Nicobar Islands,928,639,277.0,12,,,,98,82,,,,,,,,,
05-08-2020,Andaman and Nicobar Islands,1027,687,326.0,14,,,,99,48,,,,,,,,,
06-08-2020,Andaman and Nicobar Islands,1123,752,355.0,16,,,,96,65,,,,,,,,,
07-08-2020,Andaman and Nicobar Islands,1222,778,425.0,19,,,,99,26,,,,,,,,,
08-08-2020,Andaman and Nicobar Islands,1351,831,500.0,20,,,,129,53,,,,,,,,,
09-08-2020,Andaman and Nicobar Islands,1490,822,648.0,20,,,,139,0,,,,,,,,,
10-08-2020,Andaman and Nicobar Islands,1625,896,709.0,20,,,,135,74,,,,,,,,,
11-08-2020,Andaman and Nicobar Islands,1764,994,749.0,21,,,,139,98,,,,,,,,,
12-08-2020,Andaman and Nicobar Islands,1900,1050,829.0,21,,,,136,56,,,,,,,,,
13-08-2020,Andaman and Nicobar Islands,2037,1091,924.0,22,,,,137,41,,,,,,,,,
14-08-2020,Andaman and Nicobar Islands,2186,1130,1032.0,24,,,,149,39,,,,,,,,,
15-08-2020,Andaman and Nicobar Islands,2306,1154,1128.0,24,,,,120,24,,,,,,,,,
16-08-2020,Andaman and Nicobar Islands,2399,1145,1226.0,28,,,,93,0,,,,,,,,,
17-08-2020,Andaman and Nicobar Islands,2445,1091,1325.0,29,,,,46,0,,,,,,,,,
18-08-2020,Andaman and Nicobar Islands,2529,1078,1421.0,30,,,,84,0,,,,,,,,,
19-08-2020,Andaman and Nicobar Islands,2604,1045,1529.0,30,,,,75,0,,,,,,,,,
20-08-2020,Andaman and Nicobar Islands,2680,1011,1638.0,31,,,,76,0,,,,,,,,,
21-08-2020,Andaman and Nicobar Islands,2747,971,1744.0,32,,,,67,0,,,,,,,,,
22-08-2020,Andaman and Nicobar Islands,2808,923,1853.0,32,,,,61,0,,,,,,,,,
23-08-2020,Andaman and Nicobar Islands,2860,864,1963.0,33,,,,52,0,,,,,,,,,
24-08-2020,Andaman and Nicobar Islands,2904,777,2092.0,35,,,,44,0,,,,,,,,,
25-08-2020,Andaman and Nicobar Islands,2945,677,2231.0,37,,,,41,0,,,,,,,,,
26-08-2020,Andaman and Nicobar Islands,2985,635,2309.0,41,,,,40,0,,,,,,,,,
27-08-2020,Andaman and Nicobar Islands,3018,602,2374.0,42,,,,33,0,,,,,,,,,
28-08-2020,Andaman and Nicobar Islands,3050,564,2444.0,42,,,,32,0,,,,,,,,,
29-08-2020,Andaman and Nicobar Islands,3081,518,2519.0,44,,,,31,0,,,,,,,,,
30-08-2020,Andaman and Nicobar Islands,3104,473,2586.0,45,,,,23,0,,,,,,,,,
31-08-2020,Andaman and Nicobar Islands,3132,439,2647.0,46,,,,28,0,,,,,,,,,
01-09-2020,Andaman and Nicobar Islands,3160,400,2714.0,46,,,,28,0,,,,,,,,,
02-09-2020,Andaman and Nicobar Islands,3186,381,2758.0,47,,,,26,0,,,,,,,,,
03-09-2020,Andaman and Nicobar Islands,3223,352,2823.0,48,,,,37,0,,,,,,,,,
04-09-2020,Andaman and Nicobar Islands,3257,345,2863.0,49,,,,34,0,,,,,,,,,
05-09-2020,Andaman and Nicobar Islands,3292,338,2904.0,50,,,,35,0,,,,,,,,,
06-09-2020,Andaman and Nicobar Islands,3332,331,2951.0,50,,,,40,0,,,,,,,,,
07-09-2020,Andaman and Nicobar Islands,3359,312,2997.0,50,,,,27,0,,,,,,,,,
08-09-2020,Andaman and Nicobar Islands,3392,307,3035.0,50,,,,33,0,,,,,,,,,
09-09-2020,Andaman and Nicobar Islands,3426,297,3078.0,51,,,,34,0,,,,,,,,,
10-09-2020,Andaman and Nicobar Islands,3465,293,3121.0,51,,,,39,0,,,,,,,,,
11-09-2020,Andaman and Nicobar Islands,3494,286,3157.0,51,,,,29,0,,,,,,,,,
12-09-2020,Andaman and Nicobar Islands,3521,268,3202.0,51,,,,27,0,,,,,,,,,
13-09-2020,Andaman and Nicobar Islands,3546,252,3243.0,51,,,,25,0,,,,,,,,,
14-09-2020,Andaman and Nicobar Islands,3557,227,3278.0,52,,,,11,0,,,,,,,,,
15-09-2020,Andaman and Nicobar Islands,3574,204,3318.0,52,,,,17,0,,,,,,,,,
16-09-2020,Andaman and Nicobar Islands,3593,196,3345.0,52,,,,19,0,,,,,,,,,
17-09-2020,Andaman and Nicobar Islands,3604,174,3378.0,52,,,,11,0,,,,,,,,,
18-09-2020,Andaman and Nicobar Islands,3631,165,3414.0,52,,,,27,0,,,,,,,,,
19-09-2020,Andaman and Nicobar Islands,3644,156,3436.0,52,,,,13,0,,,,,,,,,
20-09-2020,Andaman and Nicobar Islands,3651,147,3452.0,52,,,,7,0,,,,,,,,,
21-09-2020,Andaman and Nicobar Islands,3673,152,3469.0,52,,,,22,5,,,,,,,,,
22-09-2020,Andaman and Nicobar Islands,3691,160,3479.0,52,,,,18,8,,,,,,,,,
23-09-2020,Andaman and Nicobar Islands,3712,166,3494.0,52,,,,21,6,,,,,,,,,
24-09-2020,Andaman and Nicobar Islands,3744,189,3503.0,52,,,,32,23,,,,,,,,,
25-09-2020,Andaman and Nicobar Islands,3774,171,3551.0,52,,,,30,0,,,,,,,,,
27-09-2020,Andaman and Nicobar Islands,3794,188,3553.0,53,,,,20,17,,,,,,,,,
28-09-2020,Andaman and Nicobar Islands,3803,168,3582.0,53,,,,9,0,,,,,,,,,
29-09-2020,Andaman and Nicobar Islands,3821,181,3587.0,53,,,,18,13,,,,,,,,,
30-09-2020,Andaman and Nicobar Islands,3835,174,3608.0,53,,,,14,0,,,,,,,,,
01-10-2020,Andaman and Nicobar Islands,3848,172,3623.0,53,,,,13,0,,,,,,,,,
02-10-2020,Andaman and Nicobar Islands,3858,174,3631.0,53,,,,10,2,,,,,,,,,
03-10-2020,Andaman and Nicobar Islands,,,,,,,,,,,,,,,,,,
03-10-2020,Andaman and Nicobar Islands,,,,,3869,3885.3476969956673,3853.270335310802,,,6.0,6.3,5.7,174.0,198.42883562323013,149.88019814421793,4.0,4.2,3.8
04-10-2020,Andaman and Nicobar Islands,,,,,3880,3912.4585207616883,3848.0347987657988,,,11.0,27.110823766020985,-5.235536545003015,170.0,217.61349121380405,123.30085249943235,-4.0,19.184655590573925,-26.579345644785576
05-10-2020,Andaman and Nicobar Islands,,,,,3890,3940.619543951362,3839.416840565924,,,10.0,28.16102318967387,-8.61795819987492,174.0,249.66700145839997,98.51841474430165,4.0,32.05351024459591,-24.7824377551307
06-10-2020,Andaman and Nicobar Islands,,,,,3898,3969.1513239730393,3826.8728199980524,,,8.0,28.53178002167715,-12.544020567871485,169.0,276.34274465697877,60.943781217531665,-5.0,26.6757431985788,-37.574633526769986
07-10-2020,Andaman and Nicobar Islands,,,,,3904,3998.0341560548095,3809.730988643638,,,6.0,28.882832081770175,-17.141831354414535,176.0,319.73269386698075,32.127182954127335,7.0,43.38994921000199,-28.81659826340433
08-10-2020,Andaman and Nicobar Islands,,,,,3908,4027.6541149833406,3787.391566217819,,,4.0,29.619958928531105,-22.33942242581861,169.0,349.37716942952363,-11.849655671392469,-7.0,29.64447556254288,-43.976838625519804
09-10-2020,Andaman and Nicobar Islands,,,,,3909,4058.6470366091294,3759.414451153611,,,1.0,30.992921625788767,-27.977115064208192,171.0,390.80643353053995,-49.61367907970771,2.0,41.429264101016315,-37.76402340831524
10-10-2020,Andaman and Nicobar Islands,,,,,3909,4091.761843665363,3725.564294275042,,,0.0,33.11480705623353,-33.85015687856912,170.0,432.38801550646735,-91.49722789298994,-1.0,41.581581975927406,-41.88354881328223
11-10-2020,Andaman and Nicobar Islands,,,,,3907,4127.746261234646,3685.823655185284,,,-2.0,35.98441756928332,-39.74063908975768,169.0,477.2790169098628,-139.66538121835472,-1.0,44.89100140339542,-48.168153325364784
12-10-2020,Andaman and Nicobar Islands,,,,,3904,4167.2584773401995,3640.3806698624644,,,-3.0,39.51221610555331,-45.44298532281982,172.0,527.8479244674618,-183.99805020867296,3.0,50.568907557599005,-44.33266899031824
13-10-2020,Andaman and Nicobar Islands,,,,,3900,4210.807728199742,3589.596584846887,,,-4.0,43.54925085954255,-50.7840850155776,166.0,571.1141672376691,-239.2106234757036,-6.0,43.26624277020733,-55.21257326703065
14-10-2020,Andaman and Nicobar Islands,,,,,3896,4258.723142272418,3533.9598727513066,,,-4.0,47.91541407267596,-55.63671209558015,169.0,625.0424014665385,-287.7130006630558,3.0,53.92823422886943,-48.50237718735221
15-10-2020,Andaman and Nicobar Islands,,,,,3893,4311.147078671034,3474.0343974337734,,,-3.0,52.423936398616206,-59.925475317533255,168.0,678.2738509276184,-342.25186212830477,-1.0,53.23144946107982,-54.53886146524894
16-10-2020,Andaman and Nicobar Islands,,,,,3889,4368.047558602927,3410.4085075352577,,,-4.0,56.90047993189273,-63.62588989851565,166.0,733.0828189459231,-400.35487659325634,-2.0,54.80896801830477,-58.10301446495157
17-10-2020,Andaman and Nicobar Islands,,,,,3886,4429.24402252248,3343.6503620519934,,,-3.0,61.196463919553025,-66.75814548326434,168.0,791.8182441175461,-455.9107201373736,2.0,58.73542517162298,-55.55584354411724
18-10-2020,Andaman and Nicobar Islands,,,,,3884,4494.441037621142,3274.2728533762493,,,-2.0,65.19701509866172,-69.37750867574414,163.0,845.7251968950011,-520.0694903224314,-5.0,53.90695277745499,-64.15877018505785
19-10-2020,Andaman and Nicobar Islands,,,,,3883,4563.265329689931,3202.7096488600278,,,-1.0,68.82429206878896,-71.5632045162215,167.0,910.7960493067884,-577.373172651604,4.0,65.07085241178731,-57.3036823291726
20-10-2020,Andaman and Nicobar Islands,,,,,3882,4635.302398019462,3129.3023522137164,,,-1.0,72.0370683295314,-73.40729664631135,164.0,971.3829839621706,-643.1377978729101,-3.0,60.58693465538215,-65.76462522130612
21-10-2020,Andaman and Nicobar Islands,,,,,3882,4710.129883082199,3054.2976683328066,,,0.0,74.82748506273674,-75.00468388090985,163.0,1035.3198170145429,-708.8363723852025,-1.0,63.93683305237232,-65.69857451229234
22-10-2020,Andaman and Nicobar Islands,,,,,3883,4787.345735274277,2977.8527370798306,,,1.0,77.21585219207827,-76.44493125297595,163.0,1101.1335365703017,-774.2098967435238,0.0,65.81371955575878,-65.37352435832133
23-10-2020,Andaman and Nicobar Islands,,,,,3883,4866.5900385822715,2900.046442803095,,,0.0,79.24430330799441,-77.80629427673557,160.0,1165.5340899494204,-845.4211917236868,-3.0,64.40055337911872,-71.21129498016296
24-10-2020,Andaman and Nicobar Islands,,,,,3884,4947.56004549339,2820.8944473312135,,,1.0,80.97000691111862,-79.15199547188149,163.0,1238.39344193708,-911.6054275480121,3.0,72.8593519876597,-66.18423582432536
25-10-2020,Andaman and Nicobar Islands,,,,,3885,5030.018559078801,2740.365864821699,,,1.0,82.45851358541131,-80.52858250951476,160.0,1305.5240878413551,-986.503524504737,-3.0,67.13064590427507,-74.89809695672488
26-10-2020,Andaman and Nicobar Islands,,,,,3886,5113.796246581264,2658.399823351141,,,1.0,83.77768750246287,-81.96604147055768,159.0,1377.720711703578,-1058.7977860260855,-1.0,72.19662386222285,-72.29426152134852
27-10-2020,Andaman and Nicobar Islands,,,,,3887,5198.788787838871,2574.9205695444634,,,1.0,84.99254125760672,-83.47925380667766,159.0,1450.6449708330083,-1132.7213242395505,0.0,72.92425912943031,-73.92353821346501
28-10-2020,Andaman and Nicobar Islands,,,,,3887,5284.949960593911,2489.850206972495,,,0.0,86.16117275503984,-85.07036257196842,157.0,1523.9458108817098,-1210.4557175937466,-2.0,73.3008400487015,-77.73439335419607
29-10-2020,Andaman and Nicobar Islands,,,,,3888,5372.281856317665,2403.1185683833846,,,1.0,87.33189572375431,-86.73163858911039,159.0,1602.7708896195113,-1285.1189196960108,2.0,78.8250787378015,-74.66320210226422
30-10-2020,Andaman and Nicobar Islands,,,,,3888,5460.823419289298,2314.670073888268,,,0.0,88.54156297163263,-88.44849449511685,154.0,1676.3637077566784,-1367.4890445410513,-5.0,73.59281813716711,-82.37012484504044
31-10-2020,Andaman and Nicobar Islands,,,,,3888,5550.638423271468,2224.46770520538,,,0.0,89.81500398217031,-90.20236868288794,155.0,1756.492400470164,-1445.7793585116726,1.0,80.12869271348563,-78.29031397062136
01-11-2020,Andaman and Nicobar Islands,1,1,0.0,0,3887,5641.803859482996,2132.4944258813007,,,-1.0,91.16543621152778,-91.97327932407916,154.0,1835.833475159219,-1527.6468510245888,-1.0,79.34107468905495,-81.86749251291621
12-03-2020,Andhra Pradesh,1,1,0.0,0,,,,,,,,,,,,,,
13-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
14-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
15-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
16-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
17-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
18-03-2020,Andhra Pradesh,1,1,0.0,0,,,,0,0,,,,,,,,,
19-03-2020,Andhra Pradesh,2,2,0.0,0,,,,1,1,,,,,,,,,
20-03-2020,Andhra Pradesh,3,3,0.0,0,,,,1,1,,,,,,,,,
21-03-2020,Andhra Pradesh,5,5,0.0,0,,,,2,2,,,,,,,,,
22-03-2020,Andhra Pradesh,7,7,0.0,0,,,,2,2,,,,,,,,,
23-03-2020,Andhra Pradesh,7,7,0.0,0,,,,0,0,,,,,,,,,
24-03-2020,Andhra Pradesh,8,8,0.0,0,,,,1,1,,,,,,,,,
25-03-2020,Andhra Pradesh,11,10,1.0,0,,,,3,2,,,,,,,,,
26-03-2020,Andhra Pradesh,12,11,1.0,0,,,,1,1,,,,,,,,,
27-03-2020,Andhra Pradesh,14,13,1.0,0,,,,2,2,,,,,,,,,
28-03-2020,Andhra Pradesh,14,13,1.0,0,,,,0,0,,,,,,,,,
29-03-2020,Andhra Pradesh,19,18,1.0,0,,,,5,5,,,,,,,,,
30-03-2020,Andhra Pradesh,40,39,1.0,0,,,,21,21,,,,,,,,,
31-03-2020,Andhra Pradesh,83,82,1.0,0,,,,43,43,,,,,,,,,
01-04-2020,Andhra Pradesh,86,84,1.0,1,,,,3,2,,,,,,,,,
02-04-2020,Andhra Pradesh,132,130,1.0,1,,,,46,46,,,,,,,,,
03-04-2020,Andhra Pradesh,161,159,1.0,1,,,,29,29,,,,,,,,,
04-04-2020,Andhra Pradesh,161,159,1.0,1,,,,0,0,,,,,,,,,
05-04-2020,Andhra Pradesh,226,222,1.0,3,,,,65,63,,,,,,,,,
06-04-2020,Andhra Pradesh,266,262,1.0,3,,,,40,40,,,,,,,,,
07-04-2020,Andhra Pradesh,305,300,1.0,4,,,,39,38,,,,,,,,,
08-04-2020,Andhra Pradesh,348,338,6.0,4,,,,43,38,,,,,,,,,
