S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
382,27/04/2020,Arunachal Pradesh,1,0,1,0
383,28/04/2020,Arunachal Pradesh,1,0,1,0
384,29/04/2020,Arunachal Pradesh,1,0,1,0
385,30/04/2020,Arunachal Pradesh,1,0,1,0
386,01/05/2020,Arunachal Pradesh,1,0,1,0
387,02/05/2020,Arunachal Pradesh,1,0,1,0
388,03/05/2020,Arunachal Pradesh,1,0,1,0
389,04/05/2020,Arunachal Pradesh,1,0,1,0
390,05/05/2020,Arunachal Pradesh,1,0,1,0
391,06/05/2020,Arunachal Pradesh,1,0,1,0
392,07/05/2020,Arunachal Pradesh,1,0,1,0
393,08/05/2020,Arunachal Pradesh,1,0,1,0
394,09/05/2020,Arunachal Pradesh,1,0,1,0
395,10/05/2020,Arunachal Pradesh,1,0,1,0
396,11/05/2020,Arunachal Pradesh,1,0,1,0
397,12/05/2020,Arunachal Pradesh,1,0,1,0
398,13/05/2020,Arunachal Pradesh,1,0,1,0
399,14/05/2020,Arunachal Pradesh,1,0,1,0
400,15/05/2020,Arunachal Pradesh,1,0,1,0
401,16/05/2020,Arunachal Pradesh,1,0,1,0
402,17/05/2020,Arunachal Pradesh,1,0,1,0
403,18/05/2020,Arunachal Pradesh,1,0,1,0
404,19/05/2020,Arunachal Pradesh,1,0,1,0
405,20/05/2020,Arunachal Pradesh,1,0,1,0
406,21/05/2020,Arunachal Pradesh,1,0,1,0
407,22/05/2020,Arunachal Pradesh,1,0,1,0
408,23/05/2020,Arunachal Pradesh,1,0,1,0
409,24/05/2020,Arunachal Pradesh,1,0,1,0
410,25/05/2020,Arunachal Pradesh,1,0,1,0
411,26/05/2020,Arunachal Pradesh,2,1,1,0
412,27/05/2020,Arunachal Pradesh,2,1,1,0
413,28/05/2020,Arunachal Pradesh,2,1,1,0
414,29/05/2020,Arunachal Pradesh,3,2,1,0
415,30/05/2020,Arunachal Pradesh,3,2,1,0
416,31/05/2020,Arunachal Pradesh,4,3,1,0
417,01/06/2020,Arunachal Pradesh,4,3,1,0
418,02/06/2020,Arunachal Pradesh,22,21,1,0
419,03/06/2020,Arunachal Pradesh,22,21,1,0
420,04/06/2020,Arunachal Pradesh,38,37,1,0
421,05/06/2020,Arunachal Pradesh,42,41,1,0
422,06/06/2020,Arunachal Pradesh,45,44,1,0
423,07/06/2020,Arunachal Pradesh,47,46,1,0
424,08/06/2020,Arunachal Pradesh,51,50,1,0
425,09/06/2020,Arunachal Pradesh,51,50,1,0
426,10/06/2020,Arunachal Pradesh,57,56,1,0
427,11/06/2020,Arunachal Pradesh,57,55,2,0
428,12/06/2020,Arunachal Pradesh,61,57,4,0
429,13/06/2020,Arunachal Pradesh,67,63,4,0
430,14/06/2020,Arunachal Pradesh,87,83,4,0
431,15/06/2020,Arunachal Pradesh,91,84,7,0
432,16/06/2020,Arunachal Pradesh,91,84,7,0
433,17/06/2020,Arunachal Pradesh,95,88,7,0
434,18/06/2020,Arunachal Pradesh,99,92,7,0
435,19/06/2020,Arunachal Pradesh,103,93,10,0
436,20/06/2020,Arunachal Pradesh,103,92,11,0
437,21/06/2020,Arunachal Pradesh,135,121,14,0
438,22/06/2020,Arunachal Pradesh,135,120,15,0
439,23/06/2020,Arunachal Pradesh,139,118,21,0
440,24/06/2020,Arunachal Pradesh,148,126,22,0
441,25/06/2020,Arunachal Pradesh,158,120,38,0
442,26/06/2020,Arunachal Pradesh,160,121,38,1
443,27/06/2020,Arunachal Pradesh,172,129,42,1
444,28/06/2020,Arunachal Pradesh,177,122,54,1
445,29/06/2020,Arunachal Pradesh,182,121,60,1
446,30/06/2020,Arunachal Pradesh,187,125,61,1
447,01/07/2020,Arunachal Pradesh,191,128,62,1
448,02/07/2020,Arunachal Pradesh,195,128,66,1
449,03/07/2020,Arunachal Pradesh,195,128,66,1
450,04/07/2020,Arunachal Pradesh,252,176,75,1
451,05/07/2020,Arunachal Pradesh,259,182,76,1
452,06/07/2020,Arunachal Pradesh,269,190,78,1
453,07/07/2020,Arunachal Pradesh,270,176,92,2
454,08/07/2020,Arunachal Pradesh,276,169,105,2
455,09/07/2020,Arunachal Pradesh,287,176,109,2
456,10/07/2020,Arunachal Pradesh,302,180,120,2
457,11/07/2020,Arunachal Pradesh,335,213,120,2
458,12/07/2020,Arunachal Pradesh,341,214,125,2
459,13/07/2020,Arunachal Pradesh,359,219,138,2
460,02/04/2020,Assam,1,1,0,0
461,03/04/2020,Assam,16,16,0,0
462,04/04/2020,Assam,24,24,0,0
463,05/04/2020,Assam,24,24,0,0
464,06/04/2020,Assam,26,26,0,0
465,07/04/2020,Assam,26,26,0,0
466,08/04/2020,Assam,27,27,0,0
467,09/04/2020,Assam,28,28,0,0
468,10/04/2020,Assam,29,29,0,0
469,11/04/2020,Assam,29,28,0,1
470,12/04/2020,Assam,29,28,0,1
471,13/04/2020,Assam,29,28,0,1
472,14/04/2020,Assam,31,30,0,1
473,15/04/2020,Assam,32,31,0,1
474,16/04/2020,Assam,33,32,0,1
475,17/04/2020,Assam,35,29,5,1
476,18/04/2020,Assam,35,29,5,1
477,19/04/2020,Assam,35,22,12,1
478,20/04/2020,Assam,35,17,17,1
479,21/04/2020,Assam,35,15,19,1
480,22/04/2020,Assam,35,15,19,1
481,23/04/2020,Assam,35,15,19,1
482,24/04/2020,Assam,36,16,19,1
483,25/04/2020,Assam,36,16,19,1
484,26/04/2020,Assam,36,16,19,1
485,27/04/2020,Assam,36,8,27,1
486,28/04/2020,Assam,36,8,27,1
487,29/04/2020,Assam,38,10,27,1
488,30/04/2020,Assam,38,8,29,1
489,01/05/2020,Assam,42,12,29,1
490,02/05/2020,Assam,43,10,32,1
491,03/05/2020,Assam,43,10,32,1
492,04/05/2020,Assam,43,10,32,1
493,05/05/2020,Assam,43,10,32,1
494,06/05/2020,Assam,43,10,32,1
495,07/05/2020,Assam,45,12,32,1
496,08/05/2020,Assam,54,19,34,1
497,09/05/2020,Assam,59,24,34,1
498,10/05/2020,Assam,63,27,34,2
499,11/05/2020,Assam,63,27,34,2
500,12/05/2020,Assam,65,29,34,2
501,13/05/2020,Assam,65,24,39,2
502,14/05/2020,Assam,80,39,39,2
503,15/05/2020,Assam,87,46,39,2
504,16/05/2020,Assam,90,47,41,2
505,17/05/2020,Assam,92,49,41,2
506,18/05/2020,Assam,101,58,41,2
507,19/05/2020,Assam,107,64,41,2
508,20/05/2020,Assam,142,97,41,4
509,21/05/2020,Assam,170,118,48,4
510,22/05/2020,Assam,203,145,54,4
511,23/05/2020,Assam,259,201,54,4
512,24/05/2020,Assam,329,270,55,4
513,25/05/2020,Assam,378,319,55,4
514,26/05/2020,Assam,526,460,62,4
515,27/05/2020,Assam,616,550,62,4
516,28/05/2020,Assam,781,690,87,4
517,29/05/2020,Assam,856,748,104,4
518,30/05/2020,Assam,1024,895,125,4
519,31/05/2020,Assam,1185,1018,163,4
520,01/06/2020,Assam,1272,1083,185,4
521,02/06/2020,Assam,1390,1109,277,4
522,03/06/2020,Assam,1513,1185,324,4
523,04/06/2020,Assam,1672,1255,413,4
524,05/06/2020,Assam,1988,1542,442,4
525,06/06/2020,Assam,2153,1651,498,4
526,07/06/2020,Assam,2397,1846,547,4
527,08/06/2020,Assam,2565,1946,615,4
528,09/06/2020,Assam,2776,2107,665,4
529,10/06/2020,Assam,2937,1848,1085,4
530,11/06/2020,Assam,3092,1839,1249,4
531,12/06/2020,Assam,3319,1881,1432,6
532,13/06/2020,Assam,3498,1953,1537,8
533,14/06/2020,Assam,3718,2126,1584,8
534,15/06/2020,Assam,4049,2081,1960,8
535,16/06/2020,Assam,4158,1984,2166,8
536,17/06/2020,Assam,4319,2145,2166,8
537,18/06/2020,Assam,4605,1955,2642,8
538,19/06/2020,Assam,4777,2114,2654,9
539,20/06/2020,Assam,4904,1856,3039,9
540,21/06/2020,Assam,4904,1856,3039,9
541,22/06/2020,Assam,5388,2019,3360,9
542,23/06/2020,Assam,5586,2056,3521,9
543,24/06/2020,Assam,5831,2060,3762,9
544,25/06/2020,Assam,6198,2231,3958,9
545,26/06/2020,Assam,6321,2279,4033,9
546,27/06/2020,Assam,6607,2339,4259,9
547,28/06/2020,Assam,6816,2307,4500,9
548,29/06/2020,Assam,7206,2108,5088,10
549,30/06/2020,Assam,7752,2408,5333,11
550,01/07/2020,Assam,8227,2568,5647,12
551,02/07/2020,Assam,8582,2719,5851,12
552,03/07/2020,Assam,9013,2895,6106,12
553,04/07/2020,Assam,9673,3310,6349,14
554,05/07/2020,Assam,10668,3997,6657,14
555,06/07/2020,Assam,11388,4249,7125,14
556,07/07/2020,Assam,12160,4264,7882,14
557,08/07/2020,Assam,12522,4179,8329,14
558,09/07/2020,Assam,13336,4591,8729,16
559,10/07/2020,Assam,14032,5284,8726,22
560,11/07/2020,Assam,14600,5426,9147,27
561,12/07/2020,Assam,15536,6351,9150,35
562,13/07/2020,Assam,16071,5610,10426,35
563,22/03/2020,Bihar,2,1,0,1
564,23/03/2020,Bihar,2,1,0,1
565,24/03/2020,Bihar,2,1,0,1
566,25/03/2020,Bihar,3,2,0,1
567,26/03/2020,Bihar,3,2,0,1
568,27/03/2020,Bihar,6,5,0,1
569,28/03/2020,Bihar,9,8,0,1
570,29/03/2020,Bihar,9,8,0,1
571,30/03/2020,Bihar,11,10,0,1
572,31/03/2020,Bihar,15,14,0,1
573,01/04/2020,Bihar,23,22,0,1
574,02/04/2020,Bihar,23,22,0,1
575,03/04/2020,Bihar,24,23,0,1
576,04/04/2020,Bihar,29,28,0,1
577,05/04/2020,Bihar,30,29,0,1
578,06/04/2020,Bihar,30,29,0,1
579,07/04/2020,Bihar,32,31,0,1
580,08/04/2020,Bihar,38,37,0,1
581,09/04/2020,Bihar,38,37,0,1
582,10/04/2020,Bihar,39,38,0,1
583,11/04/2020,Bihar,60,59,0,1
584,12/04/2020,Bihar,63,62,0,1
585,13/04/2020,Bihar,64,44,19,1
586,14/04/2020,Bihar,65,38,26,1
587,15/04/2020,Bihar,66,36,29,1
588,16/04/2020,Bihar,70,40,29,1
589,17/04/2020,Bihar,80,42,37,1
590,18/04/2020,Bihar,83,44,37,2
591,19/04/2020,Bihar,86,47,37,2
592,20/04/2020,Bihar,93,49,42,2
593,21/04/2020,Bihar,113,69,42,2
594,22/04/2020,Bihar,126,82,42,2
595,23/04/2020,Bihar,143,95,46,2
596,24/04/2020,Bihar,153,105,46,2
597,25/04/2020,Bihar,223,175,46,2
598,26/04/2020,Bihar,243,195,46,2
599,27/04/2020,Bihar,274,216,56,2
600,28/04/2020,Bihar,345,286,57,2
601,29/04/2020,Bihar,366,300,64,2
602,30/04/2020,Bihar,392,325,65,2
603,01/05/2020,Bihar,418,334,82,2
604,02/05/2020,Bihar,471,370,98,3
605,03/05/2020,Bihar,481,370,107,4
606,04/05/2020,Bihar,503,374,125,4
607,05/05/2020,Bihar,528,394,130,4
608,06/05/2020,Bihar,536,390,142,4
609,07/05/2020,Bihar,542,350,188,4
610,08/05/2020,Bihar,550,299,246,5
611,09/05/2020,Bihar,571,269,297,5
612,10/05/2020,Bihar,591,264,322,5
613,11/05/2020,Bihar,696,325,365,6
614,12/05/2020,Bihar,747,364,377,6
615,13/05/2020,Bihar,831,442,383,6
616,14/05/2020,Bihar,940,545,388,7
617,15/05/2020,Bihar,994,576,411,7
618,16/05/2020,Bihar,1018,573,438,7
619,17/05/2020,Bihar,1179,719,453,7
620,18/05/2020,Bihar,1262,779,475,8
621,19/05/2020,Bihar,1391,888,494,9
622,20/05/2020,Bihar,1498,955,534,9
623,21/05/2020,Bihar,1674,1093,571,10
624,22/05/2020,Bihar,1982,1378,593,11
625,23/05/2020,Bihar,2177,1537,629,11
626,24/05/2020,Bihar,2380,1716,653,11
627,25/05/2020,Bihar,2587,1872,702,13
628,26/05/2020,Bihar,2730,1968,749,13
629,27/05/2020,Bihar,2983,2070,900,13
630,28/05/2020,Bihar,3061,1963,1083,15
631,29/05/2020,Bihar,3296,2070,1211,15
632,30/05/2020,Bihar,3376,2150,1211,15
633,31/05/2020,Bihar,3636,1998,1618,20
634,01/06/2020,Bihar,3815,2084,1710,21
635,02/06/2020,Bihar,3926,2002,1900,24
636,03/06/2020,Bihar,4155,2185,1946,24
637,04/06/2020,Bihar,4390,2288,2077,25
638,05/06/2020,Bihar,4493,2254,2210,29
639,06/06/2020,Bihar,4596,2342,2225,29
640,07/06/2020,Bihar,4915,2460,2425,30
641,08/06/2020,Bihar,5088,2578,2480,30
642,09/06/2020,Bihar,5202,2672,2499,31
643,10/06/2020,Bihar,5459,2563,2864,32
644,11/06/2020,Bihar,5710,2606,3071,33
645,12/06/2020,Bihar,5983,2681,3266,36
646,13/06/2020,Bihar,6103,2480,3587,36
647,14/06/2020,Bihar,6290,2295,3956,39
648,15/06/2020,Bihar,6470,2261,4170,39
649,16/06/2020,Bihar,6650,2201,4409,40
650,17/06/2020,Bihar,6778,2093,4644,41
651,18/06/2020,Bihar,6942,1972,4926,44
652,19/06/2020,Bihar,7025,1925,5056,44
653,20/06/2020,Bihar,7181,2033,5098,50
654,21/06/2020,Bihar,7533,1952,5529,52
655,22/06/2020,Bihar,7612,1979,5580,53
656,23/06/2020,Bihar,7825,1989,5781,55
657,24/06/2020,Bihar,8153,1993,6104,56
658,25/06/2020,Bihar,8209,2039,6113,57
659,26/06/2020,Bihar,8473,1975,6441,57
660,27/06/2020,Bihar,8716,1896,6762,58
661,28/06/2020,Bihar,8931,2029,6843,59
662,29/06/2020,Bihar,9212,2034,7118,60
663,30/06/2020,Bihar,9640,2188,7390,62
664,01/07/2020,Bihar,10043,2289,7687,67
665,02/07/2020,Bihar,10249,2233,7946,70
666,03/07/2020,Bihar,10471,2374,8020,77
667,04/07/2020,Bihar,10954,2660,8214,80
668,05/07/2020,Bihar,11700,2925,8686,89
669,06/07/2020,Bihar,11876,3016,8765,95
670,07/07/2020,Bihar,12125,3031,8997,97
671,08/07/2020,Bihar,12570,3182,9284,104
672,09/07/2020,Bihar,13189,3528,9554,107
673,10/07/2020,Bihar,13944,4013,9816,115
674,11/07/2020,Bihar,14575,4347,10109,119
675,12/07/2020,Bihar,15373,4557,10685,131
676,13/07/2020,Bihar,16642,5001,11498,143
677,19/03/2020,Chandigarh,1,1,0,0
678,20/03/2020,Chandigarh,1,1,0,0
679,21/03/2020,Chandigarh,1,1,0,0
680,22/03/2020,Chandigarh,5,5,0,0
681,23/03/2020,Chandigarh,6,6,0,0
682,24/03/2020,Chandigarh,6,6,0,0
683,25/03/2020,Chandigarh,7,7,0,0
684,26/03/2020,Chandigarh,7,7,0,0
685,27/03/2020,Chandigarh,7,7,0,0
686,28/03/2020,Chandigarh,8,8,0,0
687,29/03/2020,Chandigarh,8,8,0,0
688,30/03/2020,Chandigarh,8,8,0,0
689,31/03/2020,Chandigarh,13,13,0,0
690,01/04/2020,Chandigarh,13,13,0,0
691,02/04/2020,Chandigarh,16,16,0,0
692,03/04/2020,Chandigarh,18,18,0,0
693,04/04/2020,Chandigarh,18,18,0,0
694,05/04/2020,Chandigarh,18,18,0,0
695,06/04/2020,Chandigarh,18,18,0,0
696,07/04/2020,Chandigarh,18,18,0,0
697,08/04/2020,Chandigarh,18,11,7,0
698,09/04/2020,Chandigarh,18,11,7,0
699,10/04/2020,Chandigarh,18,11,7,0
700,11/04/2020,Chandigarh,18,11,7,0
701,12/04/2020,Chandigarh,19,12,7,0
702,13/04/2020,Chandigarh,21,14,7,0
703,14/04/2020,Chandigarh,21,14,7,0
704,15/04/2020,Chandigarh,21,14,7,0
705,16/04/2020,Chandigarh,21,14,7,0
706,17/04/2020,Chandigarh,21,12,9,0
707,18/04/2020,Chandigarh,21,12,9,0
708,19/04/2020,Chandigarh,23,13,10,0
709,20/04/2020,Chandigarh,26,13,13,0
710,21/04/2020,Chandigarh,26,13,13,0
711,22/04/2020,Chandigarh,27,13,14,0
712,23/04/2020,Chandigarh,27,13,14,0
713,24/04/2020,Chandigarh,27,13,14,0
714,25/04/2020,Chandigarh,27,13,14,0
715,26/04/2020,Chandigarh,28,13,15,0
716,27/04/2020,Chandigarh,30,13,17,0
717,28/04/2020,Chandigarh,40,23,17,0
718,29/04/2020,Chandigarh,56,39,17,0
719,30/04/2020,Chandigarh,56,39,17,0
720,01/05/2020,Chandigarh,56,39,17,0
721,02/05/2020,Chandigarh,88,71,17,0
722,03/05/2020,Chandigarh,88,71,17,0
723,04/05/2020,Chandigarh,94,75,19,0
724,05/05/2020,Chandigarh,102,80,21,1
725,06/05/2020,Chandigarh,111,89,21,1
726,07/05/2020,Chandigarh,120,98,21,1
727,08/05/2020,Chandigarh,135,113,21,1
728,09/05/2020,Chandigarh,150,128,21,1
729,10/05/2020,Chandigarh,169,143,24,2
730,11/05/2020,Chandigarh,169,143,24,2
731,12/05/2020,Chandigarh,174,148,24,2
732,13/05/2020,Chandigarh,187,156,28,3
733,14/05/2020,Chandigarh,187,156,28,3
734,15/05/2020,Chandigarh,191,151,37,3
735,16/05/2020,Chandigarh,191,151,37,3
736,17/05/2020,Chandigarh,191,137,51,3
737,18/05/2020,Chandigarh,191,137,51,3
738,19/05/2020,Chandigarh,196,139,54,3
739,20/05/2020,Chandigarh,200,140,57,3
740,21/05/2020,Chandigarh,202,142,57,3
741,22/05/2020,Chandigarh,217,75,139,3
742,23/05/2020,Chandigarh,218,37,178,3
743,24/05/2020,Chandigarh,225,43,179,3
744,25/05/2020,Chandigarh,238,49,186,3
745,26/05/2020,Chandigarh,238,49,186,3
746,27/05/2020,Chandigarh,266,75,187,4
747,28/05/2020,Chandigarh,279,88,187,4
748,29/05/2020,Chandigarh,288,95,189,4
749,30/05/2020,Chandigarh,289,96,189,4
750,31/05/2020,Chandigarh,289,96,189,4
751,01/06/2020,Chandigarh,293,90,199,4
752,02/06/2020,Chandigarh,294,91,199,4
753,03/06/2020,Chandigarh,301,82,214,5
754,04/06/2020,Chandigarh,301,82,214,5
755,05/06/2020,Chandigarh,301,82,214,5
756,06/06/2020,Chandigarh,304,77,222,5
757,07/06/2020,Chandigarh,309,31,273,5
758,08/06/2020,Chandigarh,314,36,273,5
759,09/06/2020,Chandigarh,317,39,273,5
760,10/06/2020,Chandigarh,323,32,286,5
761,11/06/2020,Chandigarh,327,36,286,5
762,12/06/2020,Chandigarh,332,41,286,5
763,13/06/2020,Chandigarh,334,43,286,5
764,14/06/2020,Chandigarh,345,54,286,5
765,15/06/2020,Chandigarh,352,54,293,5
766,16/06/2020,Chandigarh,354,52,296,6
767,17/06/2020,Chandigarh,358,50,302,6
768,18/06/2020,Chandigarh,368,59,303,6
769,19/06/2020,Chandigarh,374,62,306,6
770,20/06/2020,Chandigarh,381,60,315,6
771,21/06/2020,Chandigarh,404,82,316,6
772,22/06/2020,Chandigarh,406,84,316,6
773,23/06/2020,Chandigarh,411,83,322,6
774,24/06/2020,Chandigarh,418,90,322,6
775,25/06/2020,Chandigarh,420,91,323,6
776,26/06/2020,Chandigarh,423,88,329,6
777,27/06/2020,Chandigarh,425,84,335,6
778,28/06/2020,Chandigarh,428,87,335,6
779,29/06/2020,Chandigarh,429,87,336,6
780,30/06/2020,Chandigarh,435,80,349,6
781,01/07/2020,Chandigarh,440,70,364,6
782,02/07/2020,Chandigarh,446,73,367,6
783,03/07/2020,Chandigarh,450,55,389,6
784,04/07/2020,Chandigarh,457,58,393,6
785,05/07/2020,Chandigarh,460,59,395,6
786,06/07/2020,Chandigarh,466,65,395,6
787,07/07/2020,Chandigarh,489,82,401,6
788,08/07/2020,Chandigarh,494,86,401,7
789,09/07/2020,Chandigarh,513,104,402,7
790,10/07/2020,Chandigarh,523,113,403,7
791,11/07/2020,Chandigarh,539,124,408,7
792,12/07/2020,Chandigarh,555,135,413,7
793,13/07/2020,Chandigarh,559,134,417,8
794,20/03/2020,Chhattisgarh,1,1,0,0
795,21/03/2020,Chhattisgarh,1,1,0,0
796,22/03/2020,Chhattisgarh,1,1,0,0
797,23/03/2020,Chhattisgarh,1,1,0,0
798,24/03/2020,Chhattisgarh,1,1,0,0
799,25/03/2020,Chhattisgarh,1,1,0,0
800,26/03/2020,Chhattisgarh,3,3,0,0
801,27/03/2020,Chhattisgarh,6,6,0,0
802,28/03/2020,Chhattisgarh,6,6,0,0
803,29/03/2020,Chhattisgarh,6,6,0,0
804,30/03/2020,Chhattisgarh,7,7,0,0
805,31/03/2020,Chhattisgarh,8,8,0,0
806,01/04/2020,Chhattisgarh,9,9,0,0
807,02/04/2020,Chhattisgarh,9,7,2,0
808,03/04/2020,Chhattisgarh,9,7,2,0
809,04/04/2020,Chhattisgarh,9,6,3,0
810,05/04/2020,Chhattisgarh,9,6,3,0
811,06/04/2020,Chhattisgarh,9,6,3,0
812,07/04/2020,Chhattisgarh,10,2,8,0
813,08/04/2020,Chhattisgarh,10,1,9,0
814,09/04/2020,Chhattisgarh,10,1,9,0
815,10/04/2020,Chhattisgarh,10,1,9,0
816,11/04/2020,Chhattisgarh,18,9,9,0
817,12/04/2020,Chhattisgarh,18,9,9,0
818,13/04/2020,Chhattisgarh,31,21,10,0
819,14/04/2020,Chhattisgarh,31,21,10,0
820,15/04/2020,Chhattisgarh,33,20,13,0
821,16/04/2020,Chhattisgarh,33,16,17,0
822,17/04/2020,Chhattisgarh,33,10,23,0
823,18/04/2020,Chhattisgarh,36,12,24,0
824,19/04/2020,Chhattisgarh,36,12,24,0
825,20/04/2020,Chhattisgarh,36,11,25,0
826,21/04/2020,Chhattisgarh,36,11,25,0
827,22/04/2020,Chhattisgarh,36,10,26,0
828,23/04/2020,Chhattisgarh,36,10,26,0
829,24/04/2020,Chhattisgarh,36,8,28,0
830,25/04/2020,Chhattisgarh,36,6,30,0
831,26/04/2020,Chhattisgarh,37,5,32,0
832,27/04/2020,Chhattisgarh,37,5,32,0
833,28/04/2020,Chhattisgarh,37,5,32,0
834,29/04/2020,Chhattisgarh,38,4,34,0
835,30/04/2020,Chhattisgarh,38,4,34,0
836,01/05/2020,Chhattisgarh,40,4,36,0
837,02/05/2020,Chhattisgarh,43,7,36,0
838,03/05/2020,Chhattisgarh,43,7,36,0
839,04/05/2020,Chhattisgarh,57,21,36,0
840,05/05/2020,Chhattisgarh,58,22,36,0
841,06/05/2020,Chhattisgarh,59,23,36,0
842,07/05/2020,Chhattisgarh,59,23,36,0
843,08/05/2020,Chhattisgarh,59,21,38,0
844,09/05/2020,Chhattisgarh,59,21,38,0
845,10/05/2020,Chhattisgarh,59,16,43,0
846,11/05/2020,Chhattisgarh,59,10,49,0
847,12/05/2020,Chhattisgarh,59,6,53,0
848,13/05/2020,Chhattisgarh,59,5,54,0
849,14/05/2020,Chhattisgarh,59,4,55,0
850,15/05/2020,Chhattisgarh,60,4,56,0
851,16/05/2020,Chhattisgarh,66,10,56,0
852,17/05/2020,Chhattisgarh,67,11,56,0
853,18/05/2020,Chhattisgarh,86,27,59,0
854,19/05/2020,Chhattisgarh,93,34,59,0
855,20/05/2020,Chhattisgarh,101,42,59,0
856,21/05/2020,Chhattisgarh,115,56,59,0
857,22/05/2020,Chhattisgarh,128,69,59,0
858,23/05/2020,Chhattisgarh,172,110,62,0
859,24/05/2020,Chhattisgarh,214,150,64,0
860,25/05/2020,Chhattisgarh,252,185,67,0
861,26/05/2020,Chhattisgarh,291,219,72,0
862,27/05/2020,Chhattisgarh,361,282,79,0
863,28/05/2020,Chhattisgarh,369,286,83,0
864,29/05/2020,Chhattisgarh,399,316,83,0
865,30/05/2020,Chhattisgarh,415,314,100,1
866,31/05/2020,Chhattisgarh,447,344,102,1
867,01/06/2020,Chhattisgarh,498,382,115,1
868,02/06/2020,Chhattisgarh,547,424,122,1
869,03/06/2020,Chhattisgarh,564,433,130,1
870,04/06/2020,Chhattisgarh,668,478,188,2
871,05/06/2020,Chhattisgarh,756,541,213,2
872,06/06/2020,Chhattisgarh,879,633,244,2
873,07/06/2020,Chhattisgarh,923,653,266,4
874,08/06/2020,Chhattisgarh,1073,786,283,4
875,09/06/2020,Chhattisgarh,1160,848,308,4
876,10/06/2020,Chhattisgarh,1240,848,386,6
877,11/06/2020,Chhattisgarh,1262,854,402,6
878,12/06/2020,Chhattisgarh,1398,945,447,6
879,13/06/2020,Chhattisgarh,1429,873,550,6
880,14/06/2020,Chhattisgarh,1512,875,631,6
881,15/06/2020,Chhattisgarh,1662,891,763,8
882,16/06/2020,Chhattisgarh,1756,858,890,8
883,17/06/2020,Chhattisgarh,1781,736,1036,9
884,18/06/2020,Chhattisgarh,1864,674,1180,10
885,19/06/2020,Chhattisgarh,1946,708,1228,10
886,20/06/2020,Chhattisgarh,2028,687,1331,10
887,21/06/2020,Chhattisgarh,2041,636,1394,11
888,22/06/2020,Chhattisgarh,2275,817,1447,11
889,23/06/2020,Chhattisgarh,2303,778,1513,12
890,24/06/2020,Chhattisgarh,2362,797,1553,12
891,25/06/2020,Chhattisgarh,2419,780,1627,12
892,26/06/2020,Chhattisgarh,2452,685,1755,12
893,27/06/2020,Chhattisgarh,2545,618,1914,13
894,28/06/2020,Chhattisgarh,2545,618,1914,13
895,29/06/2020,Chhattisgarh,2662,558,2091,13
896,30/06/2020,Chhattisgarh,2761,575,2173,13
897,01/07/2020,Chhattisgarh,2860,597,2250,13
898,02/07/2020,Chhattisgarh,2940,623,2303,14
899,03/07/2020,Chhattisgarh,3013,614,2385,14
900,04/07/2020,Chhattisgarh,3065,614,2437,14
901,05/07/2020,Chhattisgarh,3161,598,2549,14
902,06/07/2020,Chhattisgarh,3207,592,2601,14
903,07/07/2020,Chhattisgarh,3305,624,2667,14
904,08/07/2020,Chhattisgarh,3415,650,2751,14
905,09/07/2020,Chhattisgarh,3525,676,2835,14
906,10/07/2020,Chhattisgarh,3675,757,2903,15
907,11/07/2020,Chhattisgarh,3767,722,3028,17
908,12/07/2020,Chhattisgarh,3897,810,3070,17
909,13/07/2020,Chhattisgarh,4059,887,3153,19
910,09/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
911,10/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
912,11/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
913,12/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
914,13/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
915,14/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
916,15/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
917,16/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
918,17/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
919,18/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
920,19/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
921,20/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
922,21/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
923,22/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
924,23/05/2020,Dadra and Nagar Haveli and Daman and Diu,1,1,0,0
925,24/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
926,25/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
927,26/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
928,27/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
929,28/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
930,29/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
931,30/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
932,31/05/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
933,01/06/2020,Dadra and Nagar Haveli and Daman and Diu,2,2,0,0
